trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1154358852.sql;1154698901.sql;-;-;-;-;-;-;-
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_id;NUMBER(10);TRUE;0;-
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_modified_time;TIMESTAMP;FALSE;0;-
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_setup_id;NUMBER(10);FALSE;0;hst_id@hlt_setup
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_trigger_chain_id;NUMBER(10);FALSE;0;htc_id@hlt_trigger_chain
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_used;CHAR;FALSE;0;-
2;1154698901.sql;1156863525.sql;hlt_tc_to_st;Deletion:DeleteTable;htc2st_username;VARCHAR2(15);FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_prescale;Insertion:UpdateTable;hpr_l2_or_ef;VARCHAR2(2);FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_id;NUMBER(10);TRUE;0;-
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_modified_time;TIMESTAMP;FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_trigger_chain_id;NUMBER(10);FALSE;0;htc_id@hlt_trigger_chain
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_trigger_stream_id;NUMBER(10);FALSE;0;hts_id@hlt_trigger_stream
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_used;CHAR;FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_tc_to_tr;Insertion:NewTable;htc2tr_username;VARCHAR2(15);FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_id;NUMBER(10);TRUE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_modified_time;TIMESTAMP;FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_stream_description;VARCHAR2(200);FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_stream_letter;VARCHAR2(3);FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_used;CHAR;FALSE;0;-
3;1156863525.sql;1159353929.sql;hlt_trigger_stream;Insertion:NewTable;hts_username;VARCHAR2(15);FALSE;0;-
4;1159353929.sql;1159354265.sql;-;-;-;-;-;-;-
5;1159354265.sql;1159361402.sql;hlt_component;Update:TypeChange;hcp_alias;VARCHAR2(150);FALSE;0;-
5;1159354265.sql;1159361402.sql;hlt_component;Update:TypeChange;hcp_name;VARCHAR2(150);FALSE;0;-
5;1159354265.sql;1159361402.sql;hlt_trigger_element;Update:TypeChange;hte_name;VARCHAR2(30);FALSE;0;-
6;1159361402.sql;1159373801.sql;hlt_trigger_chain;Deletion:UpdateTable;htc_fa_rate;NUMBER(11,5);FALSE;0;-
6;1159361402.sql;1159373801.sql;hlt_trigger_chain;Insertion:UpdateTable;htc_pass_through_rate;NUMBER(11,5);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_component;Update:TypeChange;hcp_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_environment;Update:TypeChange;hen_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_master_table;Update:TypeChange;hmt_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_prescale_set;Update:TypeChange;hps_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_setup;Update:TypeChange;hst_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_trigger_chain;Update:TypeChange;htc_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_trigger_element;Update:TypeChange;hte_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;hlt_trigger_menu;Update:TypeChange;htm_version;NUMBER(11);FALSE;0;-
7;1159373801.sql;1159376519.sql;super_master_table;Update:TypeChange;smt_version;NUMBER(11);FALSE;0;-
8;1159376519.sql;1160658876.sql;hlt_trigger_chain;Update:TypeChange;htc_pass_through_rate;NUMBER(10);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_id;NUMBER(10);TRUE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_modified_time;TIMESTAMP;FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_stream_description;VARCHAR2(200);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_stream_letter;VARCHAR2(3);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_used;CHAR;FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_username;VARCHAR2(15);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_id;NUMBER(10);TRUE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_modified_time;TIMESTAMP;FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_stream_description;VARCHAR2(200);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_stream_letter;VARCHAR2(3);FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_used;CHAR;FALSE;0;-
9;1160658876.sql;1161079386.sql;hlt_trigger_stream;Deletion:UpdateTable;hts_username;VARCHAR2(15);FALSE;0;-
10;1161079386.sql;1161808009.sql;-;-;-;-;-;-;-
11;1161808009.sql;1162236613.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_obeyLB;VARCHAR2(5);FALSE;0;-
11;1161808009.sql;1162236613.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_stream_name;VARCHAR2(40);FALSE;0;-
11;1161808009.sql;1162236613.sql;hlt_trigger_stream;Insertion:UpdateTable;htr_stream_type;VARCHAR2(10);FALSE;0;-
11;1161808009.sql;1162236613.sql;hlt_trigger_stream;Deletion:UpdateTable;htr_stream_letter;VARCHAR2(3);FALSE;0;-
12;1162236613.sql;1162894383.sql;l1_muon_threshold_sets;Insertion:NewTable;l1mts_avl;CHAR;FALSE;0;-
12;1162236613.sql;1162894383.sql;l1_muon_threshold_sets;Insertion:NewTable;l1mts_avl_onl;CHAR;FALSE;0;-
12;1162236613.sql;1162894383.sql;l1_muon_threshold_sets;Insertion:NewTable;l1mts_id;NUMBER(10);TRUE;0;-
12;1162236613.sql;1162894383.sql;l1_muon_threshold_sets;Insertion:NewTable;l1mts_modified_time;TIMESTAMP;FALSE;0;-
