table;dur;birth;death;chngs;s@s;s@e;sAvg
CPG_config;118;0;-;0;2;2;2.0
CPG_plugins;98;20;-;0;4;4;4.0
CPG_dict;103;15;-;0;2;2;2.0
CPG_favpics;104;14;-;0;2;2;2.0
CPG_votes;118;0;-;0;3;3;3.0
CPG_sessions;83;35;-;1;4;4;4.0
CPG_vote_stats;91;27;-;1;8;9;8.692307
CPG_exif;114;4;-;2;2;2;2.0
CPG_banned;115;3;-;3;4;7;5.5652175
CPG_comments;118;0;-;4;7;11;9.949153
CPG_filetypes;113;5;-;5;3;4;3.743363
CPG_usergroups;118;0;-;10;11;12;14.059322
CPG_temp_messages;62;56;-;1;4;4;4.0
CPG_temp_data;79;9;87;0;3;3;3.0
CPG_bridge;92;26;-;0;2;2;2.0
CPG_users;118;0;-;18;14;18;16.245762
CPG_categories;118;0;-;8;10;10;9.5
CPG_languages;47;71;-;1;8;9;8.723404
CPG_albums;118;0;-;9;13;16;15.118644
CPG_pictures;118;0;-;9;25;29;28.618645
CPG_hit_stats;91;27;-;1;8;9;8.5274725
CPG_ecards;112;6;-;0;8;8;8.0
CPG_categorymap;53;65;-;1;3;2;2.0566037
