table;dur;birth;death;chngs;s@s;s@e;sAvg
externalSynonym;52;81;132;1;2;2;2.0
transcript_stable_id;384;109;492;9;3;5;4.1614585
dnac;328;201;-;12;4;3;3.097561
marker_synonym;352;177;-;7;4;4;4.0
seq_region_attrib;295;228;-;1;3;3;3.0
regulatory_factor;91;287;377;3;3;3;3.0
analysis_history;29;0;28;0;3;3;3.0
fset;127;0;126;3;2;2;2.0
mapset;87;132;248;1;4;5;4.770115
species_meta;7;384;390;0;4;4;4.0
Xref;52;81;132;3;5;6;5.980769
peptide_archive;333;196;-;11;3;3;3.0
karyotype;455;73;-;31;5;6;5.646154
contig_landmarkMarker;31;84;116;10;3;7;6.096774
regulatory_factor_transcript;2;287;288;0;2;2;2.0
landmarkMarker;2;117;118;0;6;6;6.0
exon_external;2;54;55;0;2;2;2.0
dna;529;0;-;20;4;2;2.4593573
coord_system;314;209;-;14;4;6;5.33121
contig_orientation;37;56;92;2;3;3;3.0
transcript_attrib;266;263;-;1;3;3;3.0
misc_attrib_type;2;226;227;0;4;4;4.0
static_golden_path;79;50;132;14;11;12;11.050632
repeat_feature;508;21;-;61;10;10;10.0
oligo_array;110;315;424;6;5;5;5.0
xref;396;133;-;32;6;8;7.1186867
gene;529;0;-;74;4;18;9.300567
genetype;55;51;108;1;2;2;2.0
externalDB;52;81;132;3;4;4;3.3461537
qtl_feature;340;189;-;32;5;5;5.0
analysis;529;0;-;22;7;14;12.240076
exon_feature;48;0;151;0;2;3;2.3958333
landmark_marker;38;119;156;2;6;6;6.0
oligo_feature;110;315;424;17;8;8;8.0
exon_transcript;529;0;-;11;3;3;3.0
meta;519;0;-;19;4;4;3.2947977
identityXref;31;102;132;1;3;3;3.0
external_db;396;133;-;59;3;10;7.6742425
protein_feature;467;53;-;28;11;13;11.286938
operon_transcript;48;481;-;4;8;12;11.0
fset_feature;127;0;126;3;3;3;3.0
stable_id_event;334;195;-;15;3;7;6.57485
map_density;165;85;249;24;5;5;5.0
ditag;197;332;-;2;5;5;5.0
unconventional_transcript_association;186;343;-;0;3;3;3.0
contig_equiv;33;0;32;0;7;7;7.0
interpro_description;65;55;132;1;2;3;2.7692308
transcript;529;0;-;68;2;17;8.476371
ghost;84;9;92;8;4;5;4.9404764
translation_stable_id;384;109;492;9;3;5;4.1614585
affy_feature;43;272;314;1;9;8;8.046512
feature;133;0;132;27;8;15;13.075188
operon_transcript_gene;48;481;-;0;2;2;2.0
simple_feature;396;133;-;38;8;8;8.0
assembly;396;133;-;76;11;7;7.9772725
affy_array;43;272;314;0;4;4;4.0
translation_attrib;266;263;-;1;3;3;3.0
map;352;177;-;3;2;2;2.0
regulatory_feature;96;282;377;20;9;8;8.052083
gene_external;2;54;55;0;2;2;2.0
unmapped_reason;219;309;-;0;3;3;3.0
mapping_session;334;195;-;12;5;8;6.5419164
objectXref;52;81;132;5;3;4;3.5961537
splicing_event;114;415;-;2;8;8;8.0
alt_allele;283;240;-;10;2;3;2.1731448
go_xref;247;199;445;10;2;3;2.319838
operon;48;481;-;4;7;11;10.0
density_feature;281;242;-;15;6;6;6.0
species;58;35;92;0;3;3;3.0
identity_xref;396;133;-;34;3;10;8.744949
assembly_locations;24;133;156;0;7;7;7.0
meta_coord;304;219;-;4;2;3;2.8618422
affy_probe;43;272;314;1;4;4;4.0
assembly_contig;19;126;157;0;9;9;9.0
supporting_feature;529;0;-;73;2;3;5.7088847
regulatory_region_object;1;279;279;0;3;3;3.0
regulatory_search_region;84;294;377;20;9;9;9.0
seq_region_synonym;79;450;-;1;4;4;4.0
misc_feature_misc_set;297;226;-;0;2;2;2.0
mapannotationtype;87;132;248;0;4;4;4.0
operon_stable_id;12;481;492;0;5;5;5.0
transcript_intron_supporting_evidence;18;511;-;0;4;4;4.0
dna_align_feature;396;133;-;45;15;18;15.482324
regulatory_factor_coding;89;289;377;9;3;3;3.0
unmapped_object;219;309;-;13;10;11;10.835616
genedblink;54;39;92;0;3;3;3.0
gene_denormalised_location;1;79;79;0;4;4;4.0
transcriptdblink;54;39;92;0;3;3;3.0
symmetric_contig_pair_hit;30;63;92;1;4;5;4.9666667
ditag_feature;197;332;-;3;13;13;13.0
marker_map_location;352;177;-;17;6;6;6.0
marker_feature;352;177;-;32;8;7;7.0085225
misc_attrib;297;226;-;3;3;3;3.0
genomic_align_block;20;77;97;0;8;8;8.0
mapbin;35;0;34;0;2;2;2.0
contigext;30;49;92;0;3;3;3.0
operon_transcript_stable_id;12;481;492;0;5;5;5.0
data_file;35;494;-;3;8;8;8.0
dnafrag;87;132;248;6;3;3;3.0689654
gene_archive;333;196;-;16;7;8;7.6696696
exon_stable_id;384;109;492;15;5;5;4.8072915
misc_set;297;226;-;1;5;5;5.0
ontology_xref;83;446;-;1;3;3;3.0
qtl;340;189;-;14;8;6;6.0117645
mapfrag;87;132;248;1;7;7;7.0
contigoverlap;61;32;92;11;9;7;7.032787
repeat_consensus;396;133;-;7;4;5;4.6868687
interpro;466;53;-;1;2;2;2.0
symmetric_contig_feature;30;63;92;3;6;8;7.4666667
associated_xref;1;510;510;0;5;5;5.0
gene_description;209;75;283;2;2;2;2.0
mapfrag_mapset;87;132;248;0;2;2;2.0
qtl_synonym;338;191;-;6;4;4;4.0
misc_feature;297;226;-;0;5;5;5.0
density_type;281;242;-;6;4;5;4.822064
marker;352;177;-;7;7;8;7.997159
seq_region_mapping;135;381;-;0;3;3;3.0
geneclone_neighbourhood;43;13;55;0;2;2;2.0
transcript_supporting_feature;246;283;-;6;3;3;3.0
transcript_external;2;54;55;0;2;2;2.0
dnafindex;1;0;0;0;3;3;3.0
seq_region;315;208;-;4;6;4;4.006349
homol_feature;18;0;17;1;4;4;4.0
seq_region_annotation;20;208;227;0;3;3;3.0
regulatory_motif;6;279;286;0;2;3;2.8333333
mapping_set;135;381;-;4;2;3;2.0666666
splicing_transcript_pair;114;415;-;0;4;4;4.0
repeat;1;20;20;0;10;10;10.0
oligo_probe;110;315;424;7;6;6;6.0
splicing_event_feature;114;415;-;0;9;9;9.0
attrib_type;295;228;-;0;4;4;4.0
intron_supporting_evidence;24;505;-;8;6;10;8.875
prediction_exon;296;227;-;15;10;10;10.0
dependent_xref;114;415;-;3;3;3;3.0
external_synonym;396;133;-;4;2;2;2.0
chromosome;177;35;248;12;4;3;5.7966104
gene_stable_id;384;109;492;12;5;5;4.8072915
assembly_exception;315;208;-;21;8;9;8.914286
analysis_description;252;277;-;3;3;5;4.5
peptide_regulatory_region;1;279;279;0;2;2;2.0
contig;212;0;248;24;8;6;7.8820753
analysisprocess;61;72;132;7;14;14;14.0
protein_align_feature;396;133;-;40;13;15;13.782828
db_update;65;28;92;0;16;16;16.0
peptide_regulatory_feature;5;282;286;0;2;2;2.0
translation_external;2;54;55;0;2;2;2.0
prediction_transcript;365;143;-;41;11;7;7.6657534
clone;212;0;248;15;4;8;8.146227
translation;527;2;-;30;6;10;6.077799
regulatory_feature_object;96;282;377;8;3;5;4.8958335
object_xref;396;133;-;13;4;6;4.7045455
mapannotation;87;132;248;0;4;4;4.0
exon;529;0;-;85;10;13;9.0056715
regulatory_region;1;279;279;0;10;10;10.0
gene_attrib;223;295;-;1;3;3;3.0
