trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey;
1;0939579864.sql;0939669579.sql;dna;Update:KeyChange;contig;VARCHAR(40);true;0;-;
1;0939579864.sql;0939669579.sql;dnafindex;Deletion:DeleteTable;byteposition;INT(40);false;0;-;
1;0939579864.sql;0939669579.sql;dnafindex;Deletion:DeleteTable;contigid;VARCHAR(40);true;0;-;
1;0939579864.sql;0939669579.sql;dnafindex;Deletion:DeleteTable;filename;VARCHAR(40);false;0;-;
1;0939579864.sql;0939669579.sql;meta;Deletion:DeleteTable;dna_dir;VARCHAR(120);false;0;-;
1;0939579864.sql;0939669579.sql;meta;Deletion:DeleteTable;last_update;INT(40);false;0;-;
1;0939579864.sql;0939669579.sql;meta;Deletion:DeleteTable;name;VARCHAR(40);false;0;-;
1;0939579864.sql;0939669579.sql;meta;Deletion:DeleteTable;write_number;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;contig;Update:TypeChange;orientation;INT(1);false;0;-;
2;0939669579.sql;0940867719.sql;exon;Update:TypeChange;strand;INT(2);false;0;-;
2;0939669579.sql;0940867719.sql;exon;Update:TypeChange;version;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;feature;Update:TypeChange;strand;INT(1);false;0;-;
2;0939669579.sql;0940867719.sql;gene;Update:TypeChange;version;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;transcript;Insertion:UpdateTable;translation;VARCHAR(40);false;0;-;
2;0939669579.sql;0940867719.sql;transcript;Insertion:UpdateTable;version;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;end;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;end_exon;VARCHAR(40);false;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;id;VARCHAR(40);true;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;start;INT(10);false;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;start_exon;VARCHAR(40);false;0;-;
2;0939669579.sql;0940867719.sql;translation;Insertion:NewTable;version;INT(10);false;0;-;
3;0940867719.sql;0942168743.sql;exon_transcript;Update:KeyChange;exon;VARCHAR(40);true;0;-;
3;0940867719.sql;0942168743.sql;exon_transcript;Update:KeyChange;rank;INT(10);true;0;-;
3;0940867719.sql;0942168743.sql;exon_transcript;Update:KeyChange;transcript;VARCHAR(40);true;0;-;
3;0940867719.sql;0942168743.sql;feature;Update:KeyChange;id;INT(10);true;0;-;
4;0942168743.sql;0943365716.sql;exon;Deletion:UpdateTable;end;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;exon;Deletion:UpdateTable;start;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;exon;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;exon;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;feature;Deletion:UpdateTable;end;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;feature;Deletion:UpdateTable;start;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;feature;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
4;0942168743.sql;0943365716.sql;feature;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;exon;Insertion:UpdateTable;end;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;exon;Insertion:UpdateTable;start;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;exon;Deletion:UpdateTable;seq_end;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;exon;Deletion:UpdateTable;seq_start;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;feature;Insertion:UpdateTable;end;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;feature;Insertion:UpdateTable;start;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;feature;Deletion:UpdateTable;seq_end;INT(10);false;0;-;
5;0943365716.sql;0943365844.sql;feature;Deletion:UpdateTable;seq_start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;exon;Deletion:UpdateTable;end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;exon;Deletion:UpdateTable;start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;exon;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;exon;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;feature;Deletion:UpdateTable;end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;feature;Deletion:UpdateTable;start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;feature;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;feature;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;translation;Deletion:UpdateTable;end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;translation;Deletion:UpdateTable;start;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;translation;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
6;0943365844.sql;0943366406.sql;translation;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
7;0943366406.sql;0947177076.sql;analysis;Update:TypeChange;id;INT(11);true;0;-;
8;0947177076.sql;0947516385.sql;clone;Insertion:UpdateTable;created;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;clone;Insertion:UpdateTable;modified;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;clone;Insertion:UpdateTable;version;INT(10);false;0;-;
8;0947177076.sql;0947516385.sql;clone;Deletion:UpdateTable;sv;INT(10);false;0;-;
8;0947177076.sql;0947516385.sql;dna;Update:TypeChange;created;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;exon;Update:TypeChange;created;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;exon;Update:TypeChange;modified;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;gene;Update:TypeChange;created;DATETIME;false;0;-;
8;0947177076.sql;0947516385.sql;gene;Update:TypeChange;modified;DATETIME;false;0;-;
9;0947516385.sql;0947517057.sql;ghost;Insertion:NewTable;deleted_time;DATETIME;false;0;-;
9;0947516385.sql;0947517057.sql;ghost;Insertion:NewTable;id;VARCHAR(40);true;0;-;
9;0947516385.sql;0947517057.sql;ghost;Insertion:NewTable;seq_type;SET("TRANSCRIPT","PROTEIN","EXON");true;0;-;
9;0947516385.sql;0947517057.sql;ghost;Insertion:NewTable;version;VARCHAR(5);true;0;-;
9;0947516385.sql;0947517057.sql;meta;Insertion:NewTable;donor_database_locator;VARCHAR(40);false;0;-;
9;0947516385.sql;0947517057.sql;meta;Insertion:NewTable;last_update;DATETIME;false;0;-;
9;0947516385.sql;0947517057.sql;meta;Insertion:NewTable;offset_time;TIME(5);false;0;-;
9;0947516385.sql;0947517057.sql;meta;Insertion:NewTable;schema_version;VARCHAR(40);false;0;-;
10;0947517057.sql;0947689078.sql;meta;Update:TypeChange;donor_database_locator;VARCHAR(100);false;0;-;
11;0947689078.sql;0947690071.sql;meta;Update:TypeChange;offset_time;TIME;false;0;-;
12;0947690071.sql;0947763933.sql;-;-;-;-;-;-;-;
13;0947763933.sql;0947776597.sql;geneclone_neighbourhood;Insertion:NewTable;clone;VARCHAR(40);true;0;-;
13;0947763933.sql;0947776597.sql;geneclone_neighbourhood;Insertion:NewTable;gene;VARCHAR(40);true;0;-;
14;0947776597.sql;0947851648.sql;clone;Insertion:UpdateTable;stored;DATETIME;false;0;-;
14;0947776597.sql;0947851648.sql;gene;Insertion:UpdateTable;stored;DATETIME;false;0;-;
14;0947776597.sql;0947851648.sql;ghost;Insertion:UpdateTable;deleted;DATETIME;false;0;-;
14;0947776597.sql;0947851648.sql;ghost;Insertion:UpdateTable;obj_type;SET("TRANSCRIPT","PROTEIN","EXON");false;0;-;
14;0947776597.sql;0947851648.sql;ghost;Insertion:UpdateTable;stored;DATETIME;false;0;-;
14;0947776597.sql;0947851648.sql;ghost;Deletion:UpdateTable;deleted_time;DATETIME;false;0;-;
14;0947776597.sql;0947851648.sql;ghost;Deletion:UpdateTable;seq_type;SET("TRANSCRIPT","PROTEIN","EXON");true;0;-;
15;0947851648.sql;0947859071.sql;ghost;Update:KeyChange;obj_type;SET("TRANSCRIPT","PROTEIN","EXON");true;0;-;
16;0947859071.sql;0947866332.sql;exon;Insertion:UpdateTable;stored;DATETIME;false;0;-;
17;0947866332.sql;0947957463.sql;homol_feature;Update:KeyChange;feature;VARCHAR(40);true;0;-;
18;0947957463.sql;0948025460.sql;clone;Insertion:UpdateTable;embl_version;INT(10);false;0;-;
18;0947957463.sql;0948025460.sql;feature;Insertion:UpdateTable;hend;INT(11);false;0;-;
18;0947957463.sql;0948025460.sql;feature;Insertion:UpdateTable;hid;VARCHAR(40);false;0;-;
18;0947957463.sql;0948025460.sql;feature;Insertion:UpdateTable;hstart;INT(11);false;0;-;
18;0947957463.sql;0948025460.sql;homol_feature;Deletion:DeleteTable;feature;VARCHAR(40);true;0;-;
18;0947957463.sql;0948025460.sql;homol_feature;Deletion:DeleteTable;hend;INT(11);false;0;-;
18;0947957463.sql;0948025460.sql;homol_feature;Deletion:DeleteTable;hid;VARCHAR(40);false;0;-;
18;0947957463.sql;0948025460.sql;homol_feature;Deletion:DeleteTable;hstart;INT(11);false;0;-;
19;0948025460.sql;0948308154.sql;clone;Update:KeyChange;version;INT(10);true;0;-;
19;0948025460.sql;0948308154.sql;exon;Update:KeyChange;version;INT(10);true;0;-;
19;0948025460.sql;0948308154.sql;gene;Update:KeyChange;version;INT(10);true;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;analysis;VARCHAR(40);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;contig;VARCHAR(40);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;hend;INT(11);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;hid;VARCHAR(40);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;hstart;INT(11);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;id;INT(10);true;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;score;INT(10);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;seq_end;INT(10);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;seq_start;INT(10);false;0;-;
20;0948308154.sql;0948360147.sql;repeat;Insertion:NewTable;strand;INT(1);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;analysis;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;contig;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;hend;INT(11);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;hid;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;hstart;INT(11);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;id;INT(10);true;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;score;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;seq_end;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;seq_start;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat;Deletion:DeleteTable;strand;INT(1);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;analysis;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;contig;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;hend;INT(11);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;hid;VARCHAR(40);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;hstart;INT(11);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;id;INT(10);true;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;score;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;seq_end;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;seq_start;INT(10);false;0;-;
21;0948360147.sql;0948376743.sql;repeat_feature;Insertion:NewTable;strand;INT(1);false;0;-;
22;0948376743.sql;0948378800.sql;clone;Update:KeyChange;version;INT(10);false;0;-;
22;0948376743.sql;0948378800.sql;exon;Update:KeyChange;version;INT(10);false;0;-;
22;0948376743.sql;0948378800.sql;gene;Update:KeyChange;version;INT(10);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;analysis;VARCHAR(40);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;contig;VARCHAR(40);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;hend;INT(11);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;hid;VARCHAR(40);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;hstart;INT(11);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;id;INT(10);true;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;name;VARCHAR(40);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;score;INT(10);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;seq_end;INT(10);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;seq_start;INT(10);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Insertion:UpdateTable;strand;INT(1);false;0;-;
23;0948378800.sql;0948564793.sql;supporting_feature;Deletion:UpdateTable;feature;VARCHAR(40);false;0;-;
24;0948564793.sql;0948572139.sql;fset_feature;Update:KeyChange;feature;VARCHAR(40);true;0;-;
24;0948564793.sql;0948572139.sql;fset_feature;Update:KeyChange;fset;VARCHAR(40);true;0;-;
