table;dur;birth;death;chngs;s@s;s@e;sAvg
globalinterwiki;3;294;300;0;2;2;2.0
transcache;235;88;-;2;3;3;3.0
updatelog;142;181;-;3;1;2;1.4507042
hitcounter;316;7;-;1;1;1;1.0
valid_tag;100;223;-;2;1;1;1.0
ipblocks;323;0;-;29;5;17;13.377709
text;282;41;-;2;3;3;3.0
user_newtalk;292;0;-;6;2;3;2.458904
querycachetwo;211;112;-;9;6;6;6.0
old;41;0;40;7;11;11;10.97561
site_stats;323;0;-;13;4;9;7.4582043
user_former_groups;37;286;-;1;2;2;2.0
logging;295;28;-;22;7;12;9.766102
page_props;145;178;-;1;3;3;3.0
math;282;0;281;3;5;5;5.0
cur;41;0;40;1;16;16;16.0
trackbacks;235;74;308;10;5;6;5.9957447
user_properties;89;234;-;1;3;3;3.0
searchindex;323;0;-;3;3;3;3.0
linkscc;57;6;62;1;3;2;2.1052632
page_restrictions;196;127;-;8;6;7;6.984694
recentchanges;323;0;-;43;13;26;22.814241
validate;75;23;97;7;5;7;6.3733335
redirect;212;111;-;13;3;5;3.7830188
interwiki;320;3;-;11;3;6;4.178125
l10n_cache;81;242;-;2;3;3;3.0
user_rights;36;29;64;6;2;2;2.0
change_tag;99;224;-;2;5;5;5.0
external_user;76;247;-;4;2;2;2.0
config;39;284;-;0;2;2;2.0
globalnamespaces;3;294;300;0;3;3;3.0
concurrencycheck;1;317;317;0;4;4;4.0
uploadstash;35;288;-;8;14;16;15.257143
templatelinks;237;86;-;3;3;3;3.0
imagelinks;323;0;-;4;2;2;2.0
langlinks;229;94;-;4;3;3;3.0
querycache;308;15;-;7;4;4;4.0
links;62;0;61;1;2;2;2.0
filearchive;226;97;-;19;20;21;20.818584
categorylinks;306;17;-;17;4;7;4.598039
group;25;34;58;1;3;4;3.84
image;323;0;-;23;6;14;12.374613
/*$wgDBPrefix*/protected_titles;1;171;171;0;7;7;7.0
log_search;86;237;-;3;3;3;3.0
archive;323;0;-;24;9;16;12.848297
objectcache;307;16;-;3;3;3;3.0
revision;282;41;-;24;8;12;10.37234
user_restrictions;3;210;214;3;12;12;12.0
externallinks;236;87;-;1;3;3;3.0
page;282;41;-;15;10;11;10.992908
brokenlinks;62;0;61;0;2;2;2.0
job;233;90;-;5;5;6;5.0386267
watchlist;323;0;-;6;3;4;3.876161
user_groups;289;34;-;13;2;2;2.0
querycache_info;228;95;-;3;2;2;2.0
recentlinkchanges;4;197;200;1;8;8;8.0
random;2;0;1;0;2;2;2.0
tag_summary;100;223;-;0;4;4;4.0
blobs;35;20;54;0;2;2;2.0
groups;6;59;64;0;4;4;4.0
iwlinks;69;254;-;2;3;3;3.0
pagelinks;262;61;-;3;3;3;3.0
imageredirects;1;175;175;0;2;2;2.0
msg_resource_links;59;264;-;2;2;2;2.0
msg_resource;59;264;-;1;4;4;4.0
oldimage;323;0;-;36;7;16;12.860682
module_deps;59;264;-;2;3;3;3.0
category;141;182;-;3;6;6;6.0
user;323;0;-;27;8;14;13.464396
globaltemplatelinks;3;294;300;0;8;8;8.0
protected_titles;151;172;-;7;7;7;7.0
