trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1050361840.sql;1051916137.sql;-;-;-;-;-;-;-
2;1051916137.sql;1052261929.sql;random;Deletion:DeleteTable;ra_current;TINYINT(1);FALSE;0;-
2;1051916137.sql;1052261929.sql;random;Deletion:DeleteTable;ra_title;VARCHAR(255);FALSE;0;-
3;1052261929.sql;1061464838.sql;interwiki;Insertion:NewTable;iw_local;BOOL;FALSE;0;-
3;1052261929.sql;1061464838.sql;interwiki;Insertion:NewTable;iw_prefix;CHAR(32);FALSE;0;-
3;1052261929.sql;1061464838.sql;interwiki;Insertion:NewTable;iw_url;CHAR(127);FALSE;0;-
4;1061464838.sql;1062942985.sql;ipblocks;Insertion:UpdateTable;ipb_auto;TINYINT(1);FALSE;0;-
4;1061464838.sql;1062942985.sql;ipblocks;Insertion:UpdateTable;ipb_id;INT(8);FALSE;0;-
5;1062942985.sql;1064149810.sql;-;-;-;-;-;-;-
6;1064149810.sql;1068305548.sql;linkscc;Insertion:NewTable;lcc_cacheobj;MEDIUMBLOB;FALSE;0;-
6;1064149810.sql;1068305548.sql;linkscc;Insertion:NewTable;lcc_pageid;INTUNSIGNED;FALSE;0;-
6;1064149810.sql;1068305548.sql;linkscc;Insertion:NewTable;lcc_title;VARCHAR(255);FALSE;0;-
7;1068305548.sql;1071351152.sql;hitcounter;Insertion:NewTable;hc_id;INTEGERUNSIGNED;FALSE;0;-
8;1071351152.sql;1074318579.sql;recentchanges;Insertion:UpdateTable;rc_moved_to_ns;TINYINT(3);FALSE;0;-
8;1071351152.sql;1074318579.sql;recentchanges;Insertion:UpdateTable;rc_moved_to_title;VARCHAR(255);FALSE;0;-
8;1071351152.sql;1074318579.sql;recentchanges;Insertion:UpdateTable;rc_type;TINYINT(3);FALSE;0;-
9;1074318579.sql;1076762245.sql;ipblocks;Insertion:UpdateTable;ipb_expiry;CHAR(14);FALSE;0;-
10;1076762245.sql;1077352290.sql;-;-;-;-;-;-;-
11;1077352290.sql;1078962234.sql;-;-;-;-;-;-;-
12;1078962234.sql;1078995973.sql;imagelinks;Update:TypeChange;il_from;INT(8);FALSE;0;-
12;1078962234.sql;1078995973.sql;links;Update:TypeChange;l_from;INT(8);FALSE;0;-
12;1078962234.sql;1078995973.sql;linkscc;Deletion:UpdateTable;lcc_title;VARCHAR(255);FALSE;0;-
13;1078995973.sql;1080114745.sql;-;-;-;-;-;-;-
14;1080114745.sql;1082255315.sql;user;Insertion:UpdateTable;user_real_name;VARCHAR(255);FALSE;0;-
15;1082255315.sql;1084066234.sql;querycache;Insertion:NewTable;qc_namespace;TINYINT(2);FALSE;0;-
15;1082255315.sql;1084066234.sql;querycache;Insertion:NewTable;qc_title;CHAR(255);FALSE;0;-
15;1082255315.sql;1084066234.sql;querycache;Insertion:NewTable;qc_type;CHAR(32);FALSE;0;-
15;1082255315.sql;1084066234.sql;querycache;Insertion:NewTable;qc_value;INT(5);FALSE;0;-
16;1084066234.sql;1084079575.sql;objectcache;Insertion:NewTable;exptime;DATETIME;FALSE;0;-
16;1084066234.sql;1084079575.sql;objectcache;Insertion:NewTable;keyname;CHAR(255);FALSE;0;-
16;1084066234.sql;1084079575.sql;objectcache;Insertion:NewTable;value;MEDIUMBLOB;FALSE;0;-
17;1084079575.sql;1084580979.sql;categorylinks;Insertion:NewTable;cl_from;INT(8);FALSE;0;-
17;1084079575.sql;1084580979.sql;categorylinks;Insertion:NewTable;cl_sortkey;VARCHAR(255);FALSE;0;-
17;1084079575.sql;1084580979.sql;categorylinks;Insertion:NewTable;cl_timestamp;TIMESTAMP;FALSE;0;-
17;1084079575.sql;1084580979.sql;categorylinks;Insertion:NewTable;cl_to;VARCHAR(255);FALSE;0;-
18;1084580979.sql;1085004284.sql;-;-;-;-;-;-;-
19;1085004284.sql;1087209624.sql;recentchanges;Insertion:UpdateTable;rc_ip;CHAR(15);FALSE;0;-
20;1087209624.sql;1087312730.sql;blobs;Insertion:NewTable;blob_data;LONGBLOB;FALSE;0;-
20;1087209624.sql;1087312730.sql;blobs;Insertion:NewTable;blob_index;CHAR(255);FALSE;0;-
21;1087312730.sql;1087849379.sql;-;-;-;-;-;-;-
22;1087849379.sql;1090140523.sql;-;-;-;-;-;-;-
23;1090140523.sql;1090183528.sql;validate;Insertion:NewTable;val_timestamp;VARCHAR(14);FALSE;0;-
23;1090140523.sql;1090183528.sql;validate;Insertion:NewTable;val_title;VARCHAR(255);FALSE;0;-
23;1090140523.sql;1090183528.sql;validate;Insertion:NewTable;val_type;INT(10);FALSE;0;-
23;1090140523.sql;1090183528.sql;validate;Insertion:NewTable;val_user;INT(11);FALSE;0;-
23;1090140523.sql;1090183528.sql;validate;Insertion:NewTable;val_value;INT(11);FALSE;0;-
24;1090183528.sql;1090257671.sql;validate;Insertion:UpdateTable;val_comment;VARCHAR(255);FALSE;0;-
25;1090257671.sql;1091851160.sql;recentchanges;Insertion:UpdateTable;rc_id;INT(8);FALSE;0;-
26;1091851160.sql;1091851395.sql;recentchanges;Update:KeyChange;rc_id;INT(8);TRUE;0;-
27;1091851395.sql;1092029891.sql;recentchanges;Insertion:UpdateTable;rc_patrolled;TINYINT(3);FALSE;0;-
28;1092029891.sql;1093335106.sql;logging;Insertion:NewTable;log_action;CHAR(10);FALSE;0;-
28;1092029891.sql;1093335106.sql;logging;Insertion:NewTable;log_comment;VARCHAR(255);FALSE;0;-
28;1092029891.sql;1093335106.sql;logging;Insertion:NewTable;log_namespace;TINYINTUNSIGNED;FALSE;0;-
