table;dur;birth;death;chngs;s@s;s@e;sAvg
opencart_country;5;18;22;0;5;5;5.0
oc_banner;132;35;-;1;3;3;3.0
product_image;15;1;16;0;3;3;3.0
oc_zone_to_geo_zone;145;17;-;0;6;6;6.0
product_to_download;16;0;16;0;2;2;2.0
product_to_option;1;0;0;0;7;7;7.0
opencart_order;5;18;22;4;40;44;41.6
oc_category_path;76;91;-;2;3;3;3.0
order_download;16;0;16;0;7;7;7.0
setting;16;0;16;1;4;4;4.0
order_status;16;0;16;0;3;3;3.0
oc_attribute_group_description;132;35;-;0;3;3;3.0
oc_product_option;145;17;-;8;3;5;4.8206897
oc_customer_activity;2;165;-;0;5;5;5.0
opencart_stock_status;5;18;22;0;3;3;3.0
oc_customer_ip;132;35;-;1;4;4;4.0
order_history;16;0;16;0;6;6;6.0
oc_product_description;145;17;-;6;5;7;6.696552
download_description;16;0;16;0;3;3;3.0
opencart_language;5;18;22;0;9;9;9.0
order_product;16;0;16;1;9;10;9.9375
coupon_description;16;0;16;0;4;4;4.0
product_option_description;15;1;16;1;4;4;4.0
opencart_order_total;5;18;22;0;6;6;6.0
oc_product_option_value_description;13;17;34;0;4;4;4.0
oc_product_reward;132;35;-;0;4;4;4.0
oc_voucher;132;35;-;8;12;12;12.0
oc_option_value_description;132;35;-;0;4;4;4.0
opencart_download;5;18;22;0;5;5;5.0
oc_manufacturer_to_store;144;23;-;0;2;2;2.0
oc_voucher_theme;130;37;-;0;2;2;2.0
oc_product_discount;145;17;-;2;4;8;7.972414
oc_weight_class_description;144;23;-;0;4;4;4.0
currency;16;0;16;0;9;9;9.0
oc_user_group;145;17;-;1;3;3;3.0
opencart_address;5;18;22;0;11;11;11.0
opencart_order_download;5;18;22;0;7;7;7.0
address;16;0;16;3;11;11;11.0
oc_stock_status;145;17;-;0;3;3;3.0
opencart_tax_rate;5;18;22;0;8;8;8.0
opencart_currency;5;18;22;0;9;9;9.0
opencart_download_description;5;18;22;0;3;3;3.0
oc_customer_group_description;109;58;-;1;4;4;4.0
oc_length_class;144;23;-;0;2;2;2.0
opencart_product_option;5;18;22;0;3;3;3.0
oc_manufacturer;145;17;-;0;5;4;4.0068965
information;16;0;16;0;2;2;2.0
opencart_product_to_download;5;18;22;0;2;2;2.0
