table;dur;birth;death;chngs;s@s;s@e;sAvg
phpbb_search_results;134;0;-;0;4;4;4.0
phpbb_confirm;134;0;-;2;4;6;5.522388
phpbb_topics_posted;134;0;-;0;3;3;3.0
phpbb_attachments;134;0;-;0;15;15;15.0
phpbb_posts;134;0;-;8;27;27;26.77612
phpbb_users;134;0;-;49;69;75;74.0597
phpbb_sessions_keys;134;0;-;0;4;4;4.0
phpbb_reports_reasons;134;0;-;0;4;4;4.0
phpbb_styles;134;0;-;48;7;8;7.261194
phpbb_ranks;134;0;-;0;5;5;5.0
phpbb_forums_access;134;0;-;0;3;3;3.0
phpbb_warnings;134;0;-;0;5;5;5.0
phpbb_sitelist;134;0;-;0;4;4;4.0
phpbb_user_group;134;0;-;0;4;4;4.0
phpbb_search_wordmatch;134;0;-;0;3;3;3.0
phpbb_words;134;0;-;0;3;3;3.0
phpbb_acl_users;134;0;-;0;5;5;5.0
phpbb_acl_options;134;0;-;0;5;5;5.0
phpbb_forums_track;134;0;-;0;3;3;3.0
phpbb_styles_imageset_data;55;24;96;3;7;7;7.0
phpbb_config;134;0;-;1;3;3;3.0
phpbb_profile_fields;134;0;-;20;16;20;17.947762
phpbb_profile_fields_lang;134;0;-;0;5;5;5.0
phpbb_bots;134;0;-;1;6;6;6.0
phpbb_zebra;134;0;-;1;4;4;4.0
phpbb_config_text;4;130;-;1;2;2;2.0
phpbb_acl_roles_data;134;0;-;0;3;3;3.0
phpbb_teampage;9;106;-;0;5;5;5.0
phpbb_log;134;0;-;0;10;10;10.0
phpbb_privmsgs_folder;134;0;-;0;4;4;4.0
phpbb_styles_imageset;79;0;96;97;98;4;32.55696
phpbb_smilies;134;0;-;0;8;8;8.0
phpbb_drafts;134;0;-;2;7;7;7.0
phpbb_groups;134;0;-;57;18;21;20.589552
phpbb_poll_votes;134;0;-;0;4;4;4.0
phpbb_profile_lang;134;0;-;0;5;5;5.0
phpbb_acl_roles;134;0;-;0;5;5;5.0
phpbb_extension_groups;134;0;-;0;9;9;9.0
phpbb_disallow;134;0;-;1;2;2;2.0
phpbb_privmsgs;134;0;-;7;22;22;21.597015
phpbb_forums;134;0;-;18;40;42;41.268658
phpbb_lang;134;0;-;0;6;6;6.0
phpbb_bbcodes;134;0;-;3;10;10;10.0
phpbb_user_notifications;20;99;-;7;4;5;4.85
phpbb_topics_watch;134;0;-;0;3;3;3.0
phpbb_styles_template;89;0;96;14;6;8;6.8876405
phpbb_topics;134;0;-;8;34;35;34.83582
phpbb_styles_template_data;80;0;96;2;5;5;5.0
phpbb_profile_fields_data;134;0;-;0;1;1;1.0
phpbb_privmsgs_to;134;0;-;2;10;10;10.0
phpbb_styles_theme;89;0;96;27;7;7;6.696629
phpbb_privmsgs_rules;134;0;-;2;9;9;9.0
phpbb_sessions;134;0;-;2;11;13;12.589552
phpbb_bookmarks;134;0;-;2;3;2;2.2089553
phpbb_reports;134;0;-;29;8;15;9.783582
phpbb_modules;134;0;-;0;11;11;11.0
phpbb_notification_types;14;111;-;4;2;3;2.142857
phpbb_search_wordlist;134;0;-;1;3;4;3.8432837
phpbb_topics_track;134;0;-;0;4;4;4.0
phpbb_notifications;20;99;-;14;8;8;8.25
phpbb_poll_options;134;0;-;0;4;4;4.0
phpbb_extensions;134;0;-;0;3;3;3.0
phpbb_forums_watch;134;0;-;0;3;3;3.0
phpbb_login_attempts;64;65;-;2;7;7;7.0625
phpbb_migrations;14;78;-;1;6;7;6.857143
phpbb_moderator_cache;134;0;-;1;6;6;6.0
phpbb_ext;52;65;-;2;3;3;2.9615386
phpbb_acl_groups;134;0;-;0;5;5;5.0
phpbb_icons;134;0;-;0;6;6;6.0
phpbb_banlist;134;0;-;2;9;9;9.0
