trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey;
1;1158386826.sql;1158530548.sql;phpbb_posts;Deletion:UpdateTable;post_encoding;VARCHAR(20);false;0;-;
1;1158386826.sql;1158530548.sql;phpbb_privmsgs;Deletion:UpdateTable;message_encoding;VARCHAR(20);false;0;-;
2;1158530548.sql;1159015188.sql;phpbb_users;Insertion:UpdateTable;user_inactive_reason;TINYINT(2);false;0;-;
2;1158530548.sql;1159015188.sql;phpbb_users;Insertion:UpdateTable;user_inactive_time;INT(11);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_bots;Update:TypeChange;bot_name;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_config;Update:TypeChange;config_name;VARCHAR(255);true;0;-;
3;1159015188.sql;1159692512.sql;phpbb_disallow;Update:TypeChange;disallow_username;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_drafts;Update:TypeChange;draft_subject;VARCHAR(100);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_forums;Update:TypeChange;forum_desc_bitfield;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_forums;Update:TypeChange;forum_last_post_subject;VARCHAR(100);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_forums;Update:TypeChange;forum_name;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_forums;Update:TypeChange;forum_rules_bitfield;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_groups;Update:TypeChange;group_desc_bitfield;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_groups;Update:TypeChange;group_name;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_moderator_cache;Update:TypeChange;username;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_posts;Update:TypeChange;bbcode_bitfield;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_posts;Update:TypeChange;post_edit_reason;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_posts;Update:TypeChange;post_subject;VARCHAR(100);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_posts;Update:TypeChange;post_username;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_privmsgs;Update:TypeChange;bbcode_bitfield;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_privmsgs;Update:TypeChange;message_edit_reason;VARCHAR(255);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_privmsgs;Update:TypeChange;message_subject;VARCHAR(100);false;0;-;
3;1159015188.sql;1159692512.sql;phpbb_styles;Update:TypeChange;style_name;VARCHAR(255);false;0;-;
