table;dur;birth;death;chngs;s@s;s@e;sAvg
cache_hash;75;0;74;20;4;5;4.6
sys_collection_entries;17;82;-;0;5;5;5.0
sys_workspace;56;14;69;11;17;21;20.767857
sys_refindex_res;49;22;70;1;3;3;3.0
sys_refindex_rel;49;22;70;0;2;2;2.0
cache_imagesizes;94;5;-;1;6;6;6.0
sys_category;10;89;-;0;26;26;26.0
sys_refindex_words;49;22;70;0;2;2;2.0
be_sessions;99;0;-;7;5;8;7.767677
sys_log;99;0;-;27;15;23;16.343435
be_users;99;0;-;27;27;32;31.474747
be_groups;99;0;-;24;21;26;25.181818
sys_lockedrecords;99;0;-;3;7;8;7.5656567
sys_file_collection;12;87;-;0;28;28;28.0
sys_file;12;87;-;1;30;31;30.416666
sys_filemounts;99;0;-;2;8;9;8.40404
sys_collection;17;82;-;2;29;28;28.294117
sys_history;99;0;-;6;9;10;9.131313
sys_be_shortcuts;99;0;-;2;7;7;7.0
sys_refindex;81;18;-;6;11;12;11.987655
sys_registry;47;52;-;1;4;4;4.0
cache_extensions;40;25;64;0;20;20;20.0
sys_category_record_mm;10;89;-;0;5;5;5.0
sys_language;92;7;-;0;7;7;7.0
pages;99;0;-;61;19;67;42.232323
sys_preview;57;19;75;0;4;4;4.0
sys_news;36;63;-;0;11;11;11.0
sys_file_storage;12;87;-;0;16;16;16.0
sys_file_reference;12;87;-;3;29;32;30.0
sys_file_processedfile;12;87;-;33;20;13;18.833334
cachingframework_cache_hash_tags;18;56;73;0;3;3;3.0
cachingframework_cache_hash;20;54;73;3;6;5;5.1
