trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey;
1;1065192910.sql;1067188064.sql;-;-;-;-;-;-;-;
2;1067188064.sql;1079968597.sql;be_sessions;Insertion:UpdateTable;ses_iplock;VARCHAR(15);false;0;-;
3;1079968597.sql;1080033253.sql;be_users;Insertion:UpdateTable;disableIPlock;TINYINT(3);false;0;-;
4;1080033253.sql;1082715510.sql;be_sessions;Insertion:UpdateTable;ses_hashlock;INT(11);false;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;filename;TINYTEXT;false;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;imageheight;MEDIUMINT(11);false;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;imagewidth;MEDIUMINT(11);false;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;md5filename;VARCHAR(32);true;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;md5hash;VARCHAR(32);false;0;-;
5;1082715510.sql;1083328733.sql;cache_imagesizes;Insertion:NewTable;tstamp;INT(11);false;0;-;
6;1083328733.sql;1086679320.sql;be_sessions;Update:TypeChange;ses_data;MEDIUMBLOB;false;0;-;
7;1086679320.sql;1091914059.sql;be_groups;Insertion:UpdateTable;allowed_languages;TINYBLOB;false;0;-;
7;1086679320.sql;1091914059.sql;be_groups;Insertion:UpdateTable;custom_options;BLOB;false;0;-;
7;1086679320.sql;1091914059.sql;be_groups;Insertion:UpdateTable;explicit_allowdeny;BLOB;false;0;-;
7;1086679320.sql;1091914059.sql;be_users;Insertion:UpdateTable;allowed_languages;TINYBLOB;false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;flag;VARCHAR(20);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;hidden;TINYINT(4);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;pid;INT(11);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;static_lang_isocode;INT(11);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;title;VARCHAR(80);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;tstamp;INT(11);false;0;-;
7;1086679320.sql;1091914059.sql;sys_language;Insertion:NewTable;uid;INT(11);true;0;-;
8;1091914059.sql;1093298597.sql;pages;Insertion:UpdateTable;editlock;TINYINT(4);false;0;-;
8;1091914059.sql;1093298597.sql;pages;Insertion:UpdateTable;t3ver_id;INT(11);false;0;-;
8;1091914059.sql;1093298597.sql;pages;Insertion:UpdateTable;t3ver_label;VARCHAR(30);false;0;-;
8;1091914059.sql;1093298597.sql;pages;Insertion:UpdateTable;t3ver_oid;INT(11);false;0;-;
9;1093298597.sql;1100515748.sql;sys_log;Update:TypeChange;IP;VARCHAR(39);false;0;-;
10;1100515748.sql;1106395395.sql;-;-;-;-;-;-;-;
11;1106395395.sql;1112800758.sql;-;-;-;-;-;-;-;
12;1112800758.sql;1113773932.sql;be_sessions;Update:TypeChange;ses_iplock;VARCHAR(39);false;0;-;
13;1113773932.sql;1114595876.sql;-;-;-;-;-;-;-;
14;1114595876.sql;1128427400.sql;be_groups;Insertion:UpdateTable;workspace_perms;TINYINT(3);false;0;-;
14;1114595876.sql;1128427400.sql;be_users;Insertion:UpdateTable;workspace_id;INT(11);false;0;-;
14;1114595876.sql;1128427400.sql;be_users;Insertion:UpdateTable;workspace_perms;TINYINT(3);false;0;-;
14;1114595876.sql;1128427400.sql;be_users;Insertion:UpdateTable;workspace_preview;TINYINT(3);false;0;-;
14;1114595876.sql;1128427400.sql;pages;Insertion:UpdateTable;t3_origuid;INT(11);false;0;-;
14;1114595876.sql;1128427400.sql;pages;Insertion:UpdateTable;t3ver_count;INT(11);false;0;-;
14;1114595876.sql;1128427400.sql;pages;Insertion:UpdateTable;t3ver_state;TINYINT(4);false;0;-;
14;1114595876.sql;1128427400.sql;pages;Insertion:UpdateTable;t3ver_swapmode;TINYINT(4);false;0;-;
